Customer_ID,Customer_Name,Metadata_SAL_ID,Amount,Currency,Date
PAY0406,Morgan Wilson,SAL0584,49453.0,EUR,2025-03-01
PAY0040,Riley Johnson,SAL0682,1.69647,EUR,2025-03-04
PAY0827,Alex Davis,SAL0747,985.93,USD,2025-03-11
PAY0460,Jordan Davis,SAL0767,1919.67,USD,2025-03-13
PAY0145,Morgan Davis,SAL0823,511.65,USD,2025-03-14
PAY0548,Casey Jackson,SAL0790,16834.0,USD,2025-03-16
PAY0606,Riley Johnson,SAL0445,63787.0,EUR,2025-03-18
PAY0311,Taylor Jackson,SAL0505,1.25374,EUR,2025-03-20
PAY0711,Casey Anderson,,88481.0,USD,2025-03-22
PAY0097,Robin Jackson,SAL0203,298.98,EUR,2025-03-27
PAY0777,Robin Wilson,SAL0974,718.66,EUR,2025-03-29
PAY0073,Alex Smith,SAL0355,1.33247,USD,2025-03-30
PAY0428,Riley Moore,SAL0715,477.84,USD,2025-04-05
PAY0338,Jordan Taylor,SAL0337,95975.0,USD,2025-04-06
PAY0916,Riley Wilson,SAL0324,1.69362,USD,2025-04-13
PAY0989,Morgan Smith,SAL0651,939.6,EUR,2025-04-15
PAY0847,Riley Anderson,SAL0038,526.87,USD,2025-04-19
PAY0299,Jamie Davis,SAL0999,153.86,EUR,2025-04-21
PAY0253,Alex Thomas,SAL0275,1807.88,EUR,2025-05-05
PAY0218,Morgan Brown,,1.36646,EUR,2025-05-08
PAY0220,Quinn Thomas,SAL0564,585.21,USD,2025-05-09
PAY0047,Jamie Taylor,SAL0977,1653.5,EUR,2025-05-11
PAY0989,Morgan Smith,,1.88954,USD,2025-05-18
PAY0984,Casey Davis,SAL0814,74159.0,USD,2025-05-19
PAY0619,Taylor Johnson,SAL0819,38428.0,USD,2025-05-25
PAY0241,Riley Wilson,SAL0082,1.74738,EUR,2025-05-31
PAY0463,Casey Taylor,SAL0598,975.82,EUR,2025-06-01
PAY0853,Robin Brown,SAL0474,69134.0,EUR,2025-06-04
PAY0491,Morgan Thomas,SAL0074,53581.0,EUR,2025-06-07
PAY0347,Robin Jackson,SAL0065,1.77681,USD,2025-06-09
PAY0396,Jordan Thomas,SAL0411,619.18,USD,2025-06-10
PAY0352,Quinn Taylor,SAL0592,47365.0,EUR,2025-06-11
PAY0279,Jamie Smith,SAL0764,1990.87,USD,2025-06-12
PAY0486,Taylor Taylor,SAL0619,1.03683,EUR,2025-06-14
PAY0842,Alex Johnson,SAL0964,1.36746,EUR,2025-06-15
PAY0780,Taylor Davis,SAL0984,1.43274,USD,2025-06-17
PAY0571,Quinn Anderson,SAL0058,99528.0,USD,2025-06-18
PAY0763,Taylor Wilson,SAL0640,29210.0,EUR,2025-06-21
PAY0129,Robin Wilson,SAL0151,472.51,USD,2025-06-23
PAY0091,Jamie Jackson,SAL0318,912.01,USD,2025-06-24
PAY0491,Morgan Thomas,SAL0074,1.04938,EUR,2025-07-01
PAY0639,Jordan Johnson,SAL0013,18130.0,USD,2025-07-06
PAY0945,Alex Moore,SAL0579,1967.05,USD,2025-07-07
PAY0153,Avery Brown,SAL0753,541.28,USD,2025-07-08
PAY0546,Robin Anderson,SAL0588,80770.0,USD,2025-07-09
PAY0669,Riley Jackson,SAL0249,1773.74,EUR,2025-07-10
PAY0045,Avery Brown,SAL0821,181.65,USD,2025-07-11
PAY0448,Riley Johnson,SAL0229,795.62,USD,2025-07-12
PAY0095,Jordan Smith,SAL0160,50358.0,USD,2025-07-13
PAY0301,Taylor Taylor,SAL0335,62840.0,USD,2025-07-15
PAY0859,Avery Davis,SAL0329,1.63479,USD,2025-07-18
PAY0646,Jamie Wilson,SAL0123,718.32,USD,2025-07-19
PAY0441,Jordan Brown,SAL0622,44823.0,USD,2025-07-23
PAY0644,Morgan Johnson,SAL0299,87683.0,USD,2025-07-26
PAY0050,Alex Thomas,SAL0656,1427.79,USD,2025-08-10
PAY0903,Avery Wilson,,1.43764,EUR,2025-08-13
PAY0469,Casey Smith,SAL0960,882.4,EUR,2025-08-15
PAY0285,Robin Johnson,SAL0692,1778.97,EUR,2025-08-16
PAY0316,Jordan Johnson,SAL0820,1.64196,USD,2025-08-19
PAY0072,Taylor Brown,,1.96675,EUR,2025-08-24
PAY0036,Avery Brown,SAL0542,29313.0,USD,2025-08-26
PAY0085,Jordan Wilson,SAL0156,1.91267,USD,2025-08-28
PAY0504,Casey Wilson,SAL0808,70721.0,EUR,2025-08-30
PAY0339,Alex Moore,SAL0868,1.08473,USD,2025-09-04
PAY0942,Jamie Thomas,,1334.81,EUR,2025-09-05
PAY0856,Alex Smith,SAL0303,430.4,USD,2025-09-10
PAY0501,Casey Thomas,SAL0322,1.89121,USD,2025-09-14
PAY0618,Jamie Taylor,SAL0740,1452.39,EUR,2025-09-16
PAY0409,Jamie Davis,SAL0531,1.34768,EUR,2025-09-17
PAY0303,Morgan Jackson,SAL0885,1449.01,EUR,2025-09-19
PAY0540,Jordan Taylor,SAL0173,22098.0,USD,2025-09-21
PAY0911,Riley Johnson,SAL0700,1554.0,USD,2025-09-25
PAY0672,Jordan Wilson,SAL0207,93878.0,EUR,2025-09-28
PAY0209,Riley Smith,SAL0387,1.98115,USD,2025-09-30
PAY0071,Robin Smith,SAL0919,98265.0,USD,2025-10-01
PAY0038,Taylor Thomas,SAL0633,78458.0,EUR,2025-10-02
PAY0384,Taylor Johnson,SAL0109,1737.59,USD,2025-10-04
PAY0988,Jordan Anderson,SAL0435,633.25,USD,2025-10-05
PAY0172,Quinn Smith,SAL0931,1592.99,USD,2025-10-09
PAY0288,Jordan Anderson,,99076.0,USD,2025-10-11
PAY0099,Morgan Davis,SAL0059,1.48387,USD,2025-10-12
PAY0682,Alex Smith,,1892.87,USD,2025-10-15
PAY0296,Robin Taylor,SAL0593,1399.0,USD,2025-10-19
PAY0042,Riley Brown,SAL0056,211.14,EUR,2025-10-21
PAY0744,Taylor Moore,SAL0176,9490.0,EUR,2025-10-22
PAY0864,Casey Smith,SAL0117,1.59897,USD,2025-10-23
PAY0821,Morgan Brown,SAL0853,1.82232,USD,2025-10-25
PAY0058,Casey Jackson,SAL0994,81790.0,EUR,2025-10-26
PAY0810,Jamie Wilson,,1.33424,USD,2025-10-28
PAY0675,Jamie Thomas,SAL0431,63223.0,USD,2025-11-01
PAY0713,Jamie Smith,SAL0906,534.26,USD,2025-11-02
PAY0842,Alex Johnson,SAL0557,660.23,EUR,2025-11-04
PAY0445,Morgan Johnson,SAL0493,634.43,USD,2025-11-06
PAY0698,Riley Wilson,SAL0722,47128.0,EUR,2025-11-07
PAY0468,Morgan Wilson,SAL0712,87293.0,EUR,2025-11-08
PAY0102,Riley Thomas,SAL0730,1478.72,USD,2025-11-11
PAY0742,Alex Davis,,1.98528,EUR,2025-11-13
PAY0299,Jamie Davis,SAL0999,201.17,USD,2025-11-14
PAY0206,Taylor Davis,SAL0804,1.90598,USD,2025-11-18
PAY0987,Jamie Moore,SAL0574,1165.71,EUR,2025-11-20
PAY0206,Taylor Davis,SAL0804,1.15674,EUR,2025-11-24
PAY0209,Riley Smith,SAL0387,609.3,EUR,2025-11-27
PAY0628,Jamie Johnson,SAL0075,646.04,EUR,2025-11-29
PAY0305,Casey Davis,SAL0945,1754.99,EUR,2025-12-02
PAY0938,Alex Moore,SAL0610,98533.0,USD,2025-12-03
PAY0064,Alex Wilson,SAL0497,1826.23,USD,2025-12-04
PAY0512,Riley Wilson,SAL0523,1511.85,USD,2025-12-05
PAY0386,Taylor Anderson,SAL0454,566.26,USD,2025-12-11
PAY0641,Casey Brown,SAL0826,474.05,EUR,2025-12-12
PAY0662,Riley Thomas,SAL0066,1660.17,USD,2025-12-13
PAY0267,Robin Taylor,,63178.0,USD,2025-12-15
PAY0525,Jordan Davis,SAL0288,633.61,EUR,2025-12-19
PAY0530,Morgan Moore,SAL0014,32276.0,EUR,2025-12-21
PAY0273,Morgan Moore,SAL0733,974.09,USD,2026-01-02
PAY0520,Casey Taylor,SAL0265,575.03,EUR,2026-01-08
PAY0724,Taylor Brown,SAL0914,7664.0,USD,2026-01-13
PAY0102,Riley Thomas,SAL0147,1.49805,USD,2026-01-16
PAY0526,Riley Jackson,SAL0165,1123.47,EUR,2026-01-20
PAY0411,Alex Smith,SAL0657,72731.0,EUR,2026-01-21
PAY0900,Robin Brown,SAL0376,1.82616,USD,2026-01-22
PAY0546,Robin Anderson,SAL0588,1.9366,EUR,2026-01-24
PAY0333,Avery Taylor,SAL0660,1.38515,USD,2026-01-26
PAY0831,Taylor Smith,SAL0134,408.93,USD,2026-01-28
PAY0546,Robin Anderson,SAL0588,67.28,EUR,2026-01-29
PAY0902,Jordan Anderson,SAL0983,1.23006,EUR,2026-02-04
PAY0728,Jordan Smith,SAL0247,1.12109,USD,2026-02-05
PAY0396,Jordan Thomas,SAL0211,1331.77,USD,2026-02-08
PAY0677,Jamie Davis,SAL0243,1894.03,EUR,2026-02-09
PAY0666,Jordan Taylor,SAL0986,367.69,USD,2026-02-15
