Customer_ID,Customer_Name,Stripe_ID,Revenue,Date
NET0902,Jamie Smith,PAY0713,4137.46955765496,01/03/2025
NET0389,Jordan Davis,PAY0621,950.2550744182452,02/03/2025
NET0262,Taylor Brown,PAY0012,3538.000828970875,03/03/2025
NET0468,Jamie Thomas,PAY0952,2011.8535811848285,04/03/2025
NET0986,Jamie Jackson,PAY0295,2762.4583516385946,05/03/2025
NET0012,Robin Smith,PAY0562,3942.0675523820814,06/03/2025
NET0232,Alex Johnson,PAY0784,2027.9274117188338,07/03/2025
NET0678,Taylor Davis,PAY0559,3266.725430994064,08/03/2025
NET0310,Avery Jackson,PAY0201,2135.0043741049235,09/03/2025
NET0472,Alex Thomas,PAY0861,2461.9600952261226,10/03/2025
NET0170,Taylor Thomas,,2736.282701488576,11/03/2025
NET0660,Robin Davis,PAY0496,4313.0034236869415,12/03/2025
NET0530,Riley Jackson,PAY0975,4042.173239133844,13/03/2025
NET0698,Jordan Smith,PAY0095,4281.712199199977,14/03/2025
NET0929,Morgan Taylor,PAY0536,2911.2531055760414,15/03/2025
NET0144,Casey Wilson,PAY0506,1793.1000157683932,16/03/2025
NET0207,Morgan Davis,PAY0066,713.8911250080256,17/03/2025
NET0550,Casey Johnson,PAY0638,4983.024620122039,18/03/2025
NET0645,Jamie Taylor,PAY0826,2309.123084848475,19/03/2025
NET0260,Jamie Moore,PAY0797,1516.486896653289,20/03/2025
NET0001,Casey Jackson,PAY0058,3842.9961153174545,21/03/2025
NET0275,Jordan Smith,PAY0236,913.8102585798556,22/03/2025
NET0742,Riley Thomas,PAY0190,4298.840978010518,23/03/2025
NET0603,Jamie Taylor,PAY0922,926.3012682154097,24/03/2025
NET0515,Jamie Thomas,PAY0772,2015.771275238262,25/03/2025
NET0123,Jordan Jackson,PAY0884,802.713994301314,26/03/2025
NET0565,Casey Jackson,PAY0059,4105.335521621901,27/03/2025
NET0829,Taylor Johnson,PAY0035,2638.707652106706,28/03/2025
NET0223,Alex Davis,PAY0827,1443.8262139478634,29/03/2025
NET0443,Jordan Johnson,PAY0229,4080.432872064241,30/03/2025
NET0858,Taylor Johnson,PAY0773,3431.9156609984134,31/03/2025
NET0910,Robin Wilson,PAY0665,1858.311565748437,01/04/2025
NET0771,Riley Moore,PAY0113,4118.570203703572,02/04/2025
NET0209,Morgan Moore,PAY0875,2448.0971804675096,03/04/2025
NET0991,Casey Davis,PAY0838,2929.7641061998033,04/04/2025
NET0854,Jordan Johnson,PAY0176,1400.3464345962857,05/04/2025
NET0582,Quinn Brown,PAY0599,2310.354300817039,06/04/2025
NET0082,Avery Davis,PAY1000,3312.3374418851845,07/04/2025
NET0933,Morgan Anderson,PAY0025,2539.528723970213,08/04/2025
NET0898,Robin Wilson,PAY0478,3935.489967197412,09/04/2025
NET0129,Avery Davis,PAY0647,1312.7038289907168,10/04/2025
NET0589,Casey Smith,PAY0824,583.7149495281108,11/04/2025
NET0217,Taylor Smith,PAY0182,3664.9924056456125,12/04/2025
NET0570,Casey Taylor,PAY0931,4382.194130416403,13/04/2025
NET0159,Jordan Johnson,PAY0639,3095.7948285819316,14/04/2025
NET0949,Taylor Jackson,PAY0750,1458.2876225831205,15/04/2025
NET0088,Casey Davis,PAY0204,4829.526835736528,16/04/2025
NET0647,Riley Taylor,PAY0180,3839.936049442466,17/04/2025
NET0609,Riley Brown,PAY0505,2602.8289102443437,18/04/2025
NET0444,Jordan Brown,PAY0974,4717.2331651350005,19/04/2025
NET0317,Taylor Thomas,PAY0581,2897.237007619445,20/04/2025
NET0672,Avery Wilson,PAY0022,3264.900340419157,21/04/2025
NET0785,Quinn Taylor,PAY0730,3961.036243146369,22/04/2025
NET0332,Quinn Taylor,PAY0196,2451.760181828303,23/04/2025
NET0019,Casey Davis,,3047.523992283402,24/04/2025
NET0507,Morgan Thomas,PAY0565,3320.4131220986505,25/04/2025
NET0202,Riley Johnson,PAY0606,2850.213135800631,26/04/2025
NET0537,Alex Johnson,PAY0888,2139.2360112159704,27/04/2025
NET0077,Morgan Brown,PAY0707,1164.846599710604,28/04/2025
NET0691,Robin Jackson,PAY0636,1177.1269430141956,29/04/2025
NET0363,Jamie Taylor,PAY0684,3583.879865295331,30/04/2025
NET0349,Robin Jackson,PAY0097,1851.240536559738,01/05/2025
NET0163,Riley Thomas,PAY0093,2459.2495288414593,02/05/2025
NET0786,Jordan Thomas,PAY0416,1933.939310691034,03/05/2025
NET0983,Alex Johnson,PAY0343,4235.964712501467,04/05/2025
NET0823,Avery Wilson,PAY0199,789.9238828768854,05/05/2025
NET0021,Casey Johnson,PAY0747,,06/05/2025
NET0677,Jordan Taylor,PAY0549,2355.9727087706806,07/05/2025
NET0280,Morgan Anderson,PAY0896,4206.698170242464,08/05/2025
NET0506,Alex Wilson,PAY0014,3407.191941310684,09/05/2025
NET0987,Avery Brown,PAY0435,1654.009856960528,10/05/2025
