Customer_ID,Customer_Name,Metadata_SAL_ID,Amount,Currency,Date
PAY0406,Morgan Wilson,SAL0584,"€494,53",EUR,"March 01, 2025"
PAY0922,Jamie Taylor,SAL0711,"€1,984.31",EUR,02/03/2025
PAY0012,Taylor Brown,SAL0676,"$1,878.89",USD,03/03/2025
PAY0040,Riley Johnson,SAL0682,"€1.696,47",EUR,"March 04, 2025"
PAY0221,Jordan Davis,SAL0843,€959.84,EUR,2025-03-05
PAY0728,Jordan Smith,SAL0247,"$1.456,38",USD,06/03/2025
PAY0845,Riley Jackson,,"$925,28",USD,07/03/2025
PAY0950,Jamie Anderson,SAL0535,"$1,766.19",USD,2025-03-08
PAY0297,Casey Wilson,SAL0935,$876.45,USD,2025-03-09
PAY0923,Morgan Anderson,SAL0228,$691.99,USD,2025-03-10
PAY0827,Alex Davis,SAL0747,$985.93,USD,"March 11, 2025"
PAY0101,Casey Moore,SAL0883,"€701,89",EUR,12/03/2025
PAY0460,Jordan Davis,SAL0767,"$1,919.67",USD,"March 13, 2025"
PAY0145,Morgan Davis,SAL0823,$511.65,USD,"March 14, 2025"
PAY0785,Casey Jackson,SAL0470,"€1,539.99",EUR,2025-03-15
PAY0548,Casey Jackson,SAL0790,"$168,34",USD,"March 16, 2025"
PAY0747,Casey Johnson,SAL0368,"$1,576.16",USD,17/03/2025
PAY0606,Riley Johnson,SAL0445,"€637,87",EUR,"March 18, 2025"
PAY0888,Alex Johnson,SAL0313,"€1,140.55",EUR,19/03/2025
PAY0311,Taylor Jackson,SAL0505,"€1.253,74",EUR,"March 20, 2025"
PAY0393,Jamie Wilson,SAL0991,"$1.336,46",USD,21/03/2025
PAY0711,Casey Anderson,,"$884,81",USD,"March 22, 2025"
PAY0551,Morgan Moore,SAL0645,€100.65,EUR,2025-03-23
PAY0417,Riley Davis,SAL0993,$73.96,USD,2025-03-24
PAY0146,Alex Moore,SAL0164,"€1.167,76",EUR,25/03/2025
PAY0224,Alex Moore,SAL0363,"$1.260,66",USD,2025-03-26
PAY0097,Robin Jackson,SAL0203,€298.98,EUR,"March 27, 2025"
PAY0455,Jamie Wilson,,"$747,60",USD,28/03/2025
PAY0777,Robin Wilson,SAL0974,€718.66,EUR,"March 29, 2025"
PAY0073,Alex Smith,SAL0355,"$1.332,47",USD,"March 30, 2025"
PAY0402,Taylor Jackson,SAL0342,"$1.678,59",USD,2025-03-31
PAY0597,Jamie Smith,SAL0202,$440.73,USD,01/04/2025
PAY0317,Robin Brown,SAL0851,"€1,352.33",EUR,02/04/2025
PAY0203,Jamie Anderson,SAL0341,"€1,177.90",EUR,03/04/2025
PAY0267,Robin Taylor,SAL0938,€366.45,EUR,2025-04-04
PAY0428,Riley Moore,SAL0715,$477.84,USD,"April 05, 2025"
PAY0338,Jordan Taylor,SAL0337,"$959,75",USD,"April 06, 2025"
PAY0010,Jamie Moore,SAL0537,"€1,907.55",EUR,07/04/2025
PAY0390,Jordan Davis,SAL0022,"$830,61",USD,2025-04-08
PAY0958,Jordan Thomas,SAL0515,"$108,53",USD,09/04/2025
PAY0387,Robin Jackson,SAL0055,"€1.281,10",EUR,2025-04-10
PAY0273,Morgan Moore,SAL0733,"$435,76",USD,11/04/2025
PAY0954,Alex Anderson,SAL0886,"$389,85",USD,2025-04-12
PAY0916,Riley Wilson,SAL0324,"$1.693,62",USD,"April 13, 2025"
PAY0738,Alex Smith,SAL0019,"$788,90",USD,2025-04-14
