Account_ID,Account_Name,Email
SAL0018,['Casey Smith'],['caseysmith@example.com']
SAL0022,['Jordan Davis'],['jordandavis@example.com']
SAL0041,['Taylor Anderson'],['tayloranderson@example.com']
SAL0061,['Riley Thomas'],['rileythomas@example.com']
SAL0066,['Riley Thomas'],['rileythomas@example.com']
SAL0122,['Riley Brown'],['rileybrown@example.com']
SAL0161,['Riley Smith'],['rileysmith@example.com']
SAL0219,['Jamie Davis'],['jamiedavis@example.com']
SAL0254,['Quinn Brown'],['quinnbrown@example.com']
SAL0289,['Alex Wilson'],['alexwilson@example.com']
SAL0337,['Jordan Taylor'],['jordantaylor@example.com']
SAL0359,['Taylor Johnson'],['taylorjohnson@example.com']
SAL0362,['Casey Wilson'],['caseywilson@example.com']
SAL0375,['Avery Thomas'],['averythomas@example.com']
SAL0385,['Robin Brown'],['robinbrown@example.com']
SAL0408,['Taylor Wilson'],['taylorwilson@example.com']
SAL0416,['Robin Taylor'],['robintaylor@example.com']
SAL0419,['Morgan Johnson'],['morganjohnson@example.com']
SAL0424,['Avery Moore'],['averymoore@example.com']
SAL0432,['Avery Smith'],['averysmith@example.com']
SAL0470,['Quinn Davis'],['quinndavis@example.com']
SAL0510,['Taylor Moore'],['taylormoore@example.com']
SAL0528,['Riley Thomas'],['rileythomas@example.com']
SAL0620,['Jamie Johnson'],['jamiejohnson@example.com']
SAL0710,['Jamie Moore'],['jamiemoore@example.com']
SAL0754,['Jamie Brown'],['jamiebrown@example.com']
SAL0759,['Alex Anderson'],['alexanderson@example.com']
SAL0785,['Robin Wilson'],['robinwilson@example.com']
SAL0787,['Casey Smith'],['caseysmith@example.com']
SAL0952,['Jordan Anderson'],['jordananderson@example.com']
