Stripe_ID,Account_Name,Email
PAY0001,['Casey Smith'],['caseysmith@example.com']
PAY0019,['Jamie Davis'],['jamiedavis@example.com']
PAY0057,['Jamie Johnson'],['jamiejohnson@example.com']
PAY0074,['Avery Smith'],['averysmith@example.com']
PAY0125,['Taylor Anderson'],['tayloranderson@example.com']
PAY0160,['Robin Brown'],['robinbrown@example.com']
PAY0227,['Riley Thomas'],['rileythomas@example.com']
PAY0244,['Taylor Wilson'],['taylorwilson@example.com']
PAY0338,['Jordan Taylor'],['jordantaylor@example.com']
PAY0364,['Robin Taylor'],['robintaylor@example.com']
PAY0390,['Jordan Davis'],['jordandavis@example.com']
PAY0404,['Jordan Anderson'],['jordananderson@example.com']
PAY0412,['Morgan Johnson'],['morganjohnson@example.com']
PAY0415,['Avery Thomas'],['averythomas@example.com']
PAY0442,['Taylor Johnson'],['taylorjohnson@example.com']
PAY0472,"['Riley Davis', 'Alex Wilson']","['rileydavis@example.com', 'alexwilson@example.com']"
PAY0513,['Quinn Brown'],['quinnbrown@example.com']
PAY0649,['Avery Moore'],['averymoore@example.com']
PAY0662,['Riley Thomas'],['rileythomas@example.com']
PAY0719,['Taylor Moore'],['taylormoore@example.com']
PAY0743,['Riley Thomas'],['rileythomas@example.com']
PAY0754,['Alex Anderson'],['alexanderson@example.com']
PAY0757,['Riley Smith'],['rileysmith@example.com']
PAY0770,['Quinn Davis'],['quinndavis@example.com']
PAY0802,['Jamie Brown'],['jamiebrown@example.com']
PAY0828,['Jamie Moore'],['jamiemoore@example.com']
PAY0841,['Casey Smith'],['caseysmith@example.com']
PAY0857,['Robin Wilson'],['robinwilson@example.com']
PAY0870,['Casey Wilson'],['caseywilson@example.com']
PAY0962,['Riley Brown'],['rileybrown@example.com']
PAY0979,['Alex Wilson'],['alexwilson@example.com']
